"","Date","Station","Total Rides","Usertype","Gender","Temp_Max","Temp_Avg","Temp_Min","Dew_Max","Dew_Avg","Dew_Min","Hum_Max","Hum_Avg","Hum_Min","Wind_Max","Wind_Avg","Wind_Min","Pressure_Max","Pressure_Avg","Pressure_Min","Precipitation_Total","is_weekend","is_holiday"
"41","2018-10-01","Morningside Ave & W 123 St",29,"Subscriber",2,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"42","2018-10-01","Lexington Ave & E 111 St",40,"Subscriber",2,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"43","2018-10-01","Broadway & W 122 St",13,"Subscriber",2,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"44","2018-10-01","Amsterdam Ave & W 119 St",38,"Subscriber",1,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"45","2018-10-01","Adam Clayton Powell Blvd & W 126 St",35,"Subscriber",1,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"46","2018-10-01","Pleasant Ave & E 116 St",59,"Subscriber",1,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"47","2018-10-01","Cathedral Pkwy & Broadway",79,"Subscriber",1,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"48","2018-10-01","Lenox Ave & W 111 St",91,"Subscriber",1,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"49","2018-10-01","Lenox Ave & W 115 St",18,"Subscriber",1,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"50","2018-10-02","E 118 St & 1 Ave",36,"Customer",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"51","2018-10-02","E 118 St & Park Ave",9,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"52","2018-10-02","Amsterdam Ave & W 125 St",35,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"53","2018-10-02","E 123 St & Lexington Ave",34,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"54","2018-10-02","Frederick Douglass Blvd & W 115 St",32,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"55","2018-10-02","E 118 St & 3 Ave",21,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"56","2018-10-02","W 120 St & Claremont Ave",27,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"57","2018-10-02","E 128 St & Madison Ave",21,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"58","2018-10-02","Amsterdam Ave & W 119 St",37,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"59","2018-10-02","Park Ave & E 124 St",112,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"60","2018-10-02","E 118 St & Madison Ave",21,"Subscriber",2,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
"61","2018-10-02","W 116 St & Amsterdam Ave",80,"Subscriber",1,78,71.3,66,68,64.7,62,94,80,62,17,9.2,0,30.2,30.1,29.9,0,0,0
