"","Date","Station","Total Rides","Usertype","Gender","Temp_Max","Temp_Avg","Temp_Min","Dew_Max","Dew_Avg","Dew_Min","Hum_Max","Hum_Avg","Hum_Min","Wind_Max","Wind_Avg","Wind_Min","Pressure_Max","Pressure_Avg","Pressure_Min","Precipitation_Total","is_weekend","is_holiday"
"52","2018-10-01","Central Park West & W 72 St",176,"Subscriber",1,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"53","2018-10-01","5 Ave & E 63 St",95,"Subscriber",1,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"54","2018-10-01","E 97 St & 3 Ave",16,"Subscriber",1,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"55","2018-10-01","W 104 St & Amsterdam Ave",52,"Subscriber",1,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"56","2018-10-01","E 68 St & 3 Ave",53,"Subscriber",1,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"57","2018-10-01","E 102 St & Park Ave",29,"Subscriber",1,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"58","2018-10-01","E 97 St & Madison Ave",56,"Subscriber",1,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"59","2018-10-01","E 68 St & Madison Ave",44,"Subscriber",1,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"60","2018-10-01","2 Ave & E 104 St",42,"Subscriber",2,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"61","2018-10-01","W 59 St & 10 Ave",119,"Subscriber",1,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
"62","2018-10-01","Riverside Blvd & W 67 St",83,"Subscriber",1,78,71.5,65,66,61.9,58,84,72.2,60,14,7.3,3,30.3,30.2,30.2,0,0,0
